id,name,address1,address2,city,zip,hours,type,start_date,end_date,url,status_message,x_coordinate,y_coordinate,location
28,East West Bank,208 Canal Street,,New York,10013,,financial,,,https://www.eastwestbank.com,,984459,200596,"(40.717267, -73.999246)"
129,People's United Bank,1009 Flatbush Ave,,Brooklyn,11226,,financial,,,https://www.peoples.com,,995877,174893,"(40.64671, -73.958101)"
78,Metropolitan Opera,30 Lincoln Center Plaza,,New York,10023,,cultural,,,,,989028,220549,"(40.772031, -73.98275)"
77,Metropolitan Museum of Art,1000 5th Ave,,New York,10028,,cultural,,,https://www.metmuseum.org,,994623,222956,"(40.778633, -73.962546)"
12,Amalgamated Bank,70-23 Parsons Boulevard,,Flushing,11365,,financial,,,https://www.amalgamatedbank.com,,1036679,205766,"(40.731302, -73.810828)"
62,King Manor,150-03 Jamaica Ave,,Queens,11432,,cultural,,,https://www.kingmanor.org,,1038704,195232,"(40.702376, -73.803607)"
84,Museum of the City of New York,1220 5th Ave,,New York,10029,,cultural,,,,,997417,227987,"(40.792438, -73.952448)"
134,People's United Bank,8989 Union Turnpike,,Glendale,11385,,financial,,,https://www.peoples.com,,1024412,196761,"(40.706649, -73.855143)"
95,Queens Museum,Flushing Meadows Corona Park,,Corona,11368,,cultural,,,,,1027989,0209784,"(40.74237702451811, -73.84215697754966)"
94,MoMA PS1,22-25 Jackson Ave,,Long Island City,11101,,cultural,,,,,999194,210948,"(40.745668, -73.946068)"
23,Carver Federal Savings Bank,75 West 125th Street,,New York,10027,,financial,,,https://www.carverbank.com,,999566,233454,"(40.80744, -73.944674)"
31,East West Bank,1322-1328 Avenue U,,Brooklyn,11229,,financial,,,https://www.eastwestbank.com,,995921,157384,"(40.598652, -73.957973)"
21,Carver Federal Savings Bank,300 West 145th Street,,New York,10039,,financial,,,https://www.carverbank.com,,1000283,239084,"(40.822892, -73.942071)"
149,The Shed,545 W 30th St,,New York,10001,,cultural,,,https://theshed.org/idnyc,,983356,213621,"(40.753017, -74.003227)"
103,Bronx - Department of Finance,"3030 Third Avenue, 2nd Floor",(at E156th St and Third Ave),Bronx,10455,Mon-Fri: 8:30am - 4:30pm,permanent,,,https://a069-idnyconlineportal.nyc.gov/IOPWeb/#/EN/Dashboard,Temporarily closed,1008256,237985,"(40.819857, -73.913268)"
13,Amalgamated Bank,36-16 21st Street,,Long Island City,11106,,financial,,,https://www.amalgamatedbank.com,,1001676,216017,"(40.759576, -73.937098)"
131,People's United Bank,127 7th Ave,,New York,10011,,financial,,,https://www.peoples.com,,984797,209174,"(40.740811, -73.998026)"
91,The Public Theater,425 Lafayette St,,New York,10003,,cultural,,,,,986407,204846,"(40.728932, -73.992218)"
